cgl_id,Entry,Entry name,Protein names,Gene names,Organism,Cross-reference (RefSeq)
Cgl0001,Q8NUD8,DNAA_CORGL,Chromosomal replication initiator protein DnaA,dnaA Cgl0001 cg0001,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599253.1;WP_011013309.1;
Cgl0004,Q6M8X7,RECF_CORGL,DNA replication and repair protein RecF,recF Cgl0004 cg0005,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599255.1;WP_011013310.1;
Cgl0005,Q8NUD4,Y005_CORGL,UPF0232 protein Cgl0005/cg0006,Cgl0005 cg0006,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599256.1;WP_003855338.1;
Cgl0006,Q8NUD3,Q8NUD3_CORGL,DNA gyrase subunit B (EC 5.6.2.2),gyrB Cgl0006,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599257.1;
Cgl0013,Q8NUC6,Q8NUC6_CORGL,DNA gyrase subunit A (EC 5.6.2.2),gyrA Cgl0013,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599264.1;WP_003855346.1;
Cgl0015,Q6M8W7,Y015_CORGL,UPF0324 membrane protein Cgl0015/cg0018,Cgl0015 cg0018,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599266.1;WP_011265442.1;
Cgl0027,Q8NUB2,Q8NUB2_CORGL,"ABC-type transporter, periplasmic component",Cgl0027,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599279.1;WP_011013329.1;
Cgl0028,Q8NUB1,Q8NUB1_CORGL,"ABC-type transporter, permease components",Cgl0028,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599280.1;WP_011013330.1;
Cgl0029,Q8NUB0,Q8NUB0_CORGL,"ABC-type transporter, ATPase component",Cgl0029,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599281.1;WP_011013331.1;
Cgl0031,Q8NUA8,Q8NUA8_CORGL,"ABC-type transporter, permease components",Cgl0031,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599283.1;WP_003855379.1;
Cgl0032,Q8NUA7,Q8NUA7_CORGL,"ABC-type transporter, ATPase component",Cgl0032,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599284.1;WP_011013333.1;
Cgl0036,Q8NUA2,Q8NUA2_CORGL,"ABC-type transporter, permease components",Cgl0036,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599289.1;
Cgl0038,Q8NUA1,Q8NUA1_CORGL,"ABC-type transporter, ATPase component",Cgl0038,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599290.1;WP_011013338.1;
Cgl0039,Q8NUA0,Q8NUA0_CORGL,Siderophore-interacting protein,Cgl0039,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599291.1;WP_011013339.1;
Cgl0040,Q8NU99,CRGA_CORGL,Cell division protein CrgA,crgA Cgl0040 cg0055,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599292.1;WP_003861074.1;
Cgl0041,Q8NU98,PKN1_CORGL,Probable serine/threonine-protein kinase PknB (EC 2.7.11.1),pknB Cgl0041 cg0057,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599293.1;WP_011013340.1;
Cgl0042,Q8NU97,PKN2_CORGL,Serine/threonine-protein kinases PknA (EC 2.7.11.1),pknA drp72 Cgl0042 cg0059,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599294.1;WP_011013341.1;
Cgl0051,Q8NU89,Q8NU89_CORGL,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.16),Cgl0051,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599302.1;WP_011013348.1;
